Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text,Date
44,2.0,0.9253,"partai, baswedan, anies, twitter, presiden, indonesia, juang, advokat, demokrasi, perintah",yurisa samosir twitter keri yurisa samosir twitter keri gagal pencapresan anies baswedan pilih umum tunda anies sangka komisi berantas koruptor partai demokrat kudeta anies baswedan,2023-04-03
45,1.0,0.9428,"anies, nama, janji, pasang, baswedan, peluang, insyaallah, pajak, sandiaga, twittersudah",rawan anies baswedan twitter alas warga nahdatul ulama alas warga nahdatul ulama pilih anies presiden,2023-04-05
46,1.0,0.9428,"anies, nama, janji, pasang, baswedan, peluang, insyaallah, pajak, sandiaga, twittersudah",udagan muttaqins tweets twittersudah bebas pajak sekian obral hgu izin uang haram ngangkat janji pakde januari,2023-04-07
47,1.0,0.9417,"anies, nama, janji, pasang, baswedan, peluang, insyaallah, pajak, sandiaga, twittersudah",udagan muttaqins tweets twittersudah bebas pajak sekian obral hgu izin uang haram ngangkat janji pakde januari,2023-04-08
48,2.0,0.9523,"partai, baswedan, anies, twitter, presiden, indonesia, juang, advokat, demokrasi, perintah",headline wacana pasang anies baswedan sandiaga uno twitterheadline wacana pasang anies baswedan sandiaga uno pilpres peluang,2023-04-10
49,2.0,0.9635,"partai, baswedan, anies, twitter, presiden, indonesia, juang, advokat, demokrasi, perintah",twitterratusan juta rakyat indonesia ubah baik indonesia anies baswedan nama nina advokat juang bela anies rasyid baswedan presiden nyata sikap tim rawan advokat,2023-04-14
50,3.0,0.731,"anies, partai, baswedan, adil, twitter, presiden, survei, indonesia, detikcom, menang",twitter advokat juang bela anies rasyid baswedan presiden nyata sikap tim rawan advokat stev3n peg3l 16h menkopolhukam suara kait aparat tegak hukum ikut2an kait kritik bima perintah lampung tunggu senin iya,2023-04-15
51,2.0,0.9635,"partai, baswedan, anies, twitter, presiden, indonesia, juang, advokat, demokrasi, perintah",twitter hanoman putih 10h bos foto tri bumn muncul atm bungkus kripik paket sembilan bahan pokok kaos mudik bumn loh muka selagi jabat kampanye sembunyi tinggal mundur woey kampanye scratch,2023-04-15
52,2.0,0.9552,"partai, baswedan, anies, twitter, presiden, indonesia, juang, advokat, demokrasi, perintah",twitter advokat juang bela anies rasyid baswedan presiden nyata sikap tim rawan advokat stev3n peg3l 16h menkopolhukam suara kait aparat tegak hukum ikut2an kait kritik bima perintah lampung tunggu senin iya,2023-04-16
53,1.0,0.5988,"anies, nama, janji, pasang, baswedan, peluang, insyaallah, pajak, sandiaga, twittersudah",sanjaya ogahpaksien twitter hayo buzzer dukung denb0kepp anies baswedan unggul polling ilc baru partai demokrasi indonesia juang umum ganjar prabowo puan top mega nasdem calon presiden maafin sugeng riyadi ganjar thrnya presiden mahfud erick hayo buzzer dukung denb0kepp kerah jempol anies baswedan unggul polling ilc baru partai demokrasi indonesia juang umum ganjar,2023-04-21
54,1.0,0.9367,"anies, nama, janji, pasang, baswedan, peluang, insyaallah, pajak, sandiaga, twittersudah",frans von bitter twitternomor nama husin lahir riau alamat rit jambi pekerjaaan tani nomor nomor daftar,2023-04-21
55,1.0,0.8654,"anies, nama, janji, pasang, baswedan, peluang, insyaallah, pajak, sandiaga, twittersudah",langkah anies serius tenang tuntas twitterpemimpin ulama kyai dzurriyah rasul insyaallah doa doa mudah berkah moga pimpin insyaallah masyarakat pilih anies baswedan presiden lampau batas suara,2023-04-25
