title,href,body,date
"Tribun Jateng on Instagram: ""Nasdem Resmi Deklarasikan Anies Baswedan ...",https://www.instagram.com/p/CjQGe99rMHu/,"44 likes, 0 comments - Tribun Jateng (@tribunjateng) on Instagram: ""Nasdem Resmi Deklarasikan Anies Baswedan Jadi Capres 2024 Cek video selengkapnya di channel akun..."" Tribun Jateng on Instagram: ""Nasdem Resmi Deklarasikan Anies Baswedan Jadi Capres 2024 Cek video selengkapnya di channel akun youtube Tribun Jateng #matalokalmenjangkauindonesia ...",2023-01-02
"Politik Hari Ini on Instagram: ""Setelah melalui perjalanan panjang ...",https://www.instagram.com/p/CpAGUSUhev7/,"46 likes, 1 comments - Politik Hari Ini (@politikhariini) on Instagram: ""Setelah melalui perjalanan panjang, akhirnya PKS deklarasikan Anies Baswedan sebagai bakal capres..."" Politik Hari Ini on Instagram: ""Setelah melalui perjalanan panjang, akhirnya PKS deklarasikan Anies Baswedan sebagai bakal capres 2024. .",2023-01-02
"RADIO SOLOPOS 📻 | Beyond Information on Instagram: ""Gubernur DKI ...",https://www.instagram.com/p/CikBSwaIFXu/,"September 16, 2022 - 11 likes, 0 comments - RADIO SOLOPOS | Beyond Information (@radio_solopos) on Instagram: ""Gubernur DKI Jakarta Anies Baswedan menyatakan siap ...",2023-01-02
Page not found • Instagram,https://www.instagram.com/p/CkQYdJRMhR0/,"188 likes, 26 comments - GALUH ID (@officialgaluh.id) on Instagram: ""Pemuda Pancasila Kabupaten Ciamis mengatakan siap mendukung Anies Baswedan di perhelatan Pemilu 2..."" GALUH ID on Instagram: ""Pemuda Pancasila Kabupaten Ciamis mengatakan siap mendukung Anies Baswedan di perhelatan Pemilu 2024 mendatang.",2023-01-02
mustofanahra_id on Instagram,https://www.instagram.com/p/Cl0j_uhJEvK/,"mustofanahra_id • Original audio. Original audio. 2,618 likes likes",2023-01-02
"Akbar faizal on Instagram: ""Nasib Anies-Sandi diusung Gerindra 2024 ...",https://www.instagram.com/p/CFlvzoWDGhX/,"24 likes, 0 comments - Akbar faizal (@akbarfaizal68) on Instagram: ""Nasib Anies-Sandi diusung Gerindra 2024? PDIP-Gerindra semakin 'mesra'. Banyak pihak meyakini in...""",2023-01-02
Anis Baswedan For Ri 2024 is on Instagram • 49 posts on their profile,https://www.instagram.com/anisbasewedan/,"4,641 Followers, 98 Following, 49 Posts - See Instagram photos and videos from Anis Baswedan For Ri 2024 (@anisbasewedan)",2023-01-02
Anies Baswedan (@anies.baswedan2024) • Instagram photos and videos,https://www.instagram.com/anies.baswedan2024/,"304 Followers, 10 Following, 46 Posts - See Instagram photos and videos from Anies Baswedan (@anies.baswedan2024)",2023-01-02
ANIES BASWEDAN INDONESIA (@aniesbaswedan.2024) - Instagram,https://www.instagram.com/aniesbaswedan.2024/,"36.6k Followers, 1,984 Following, 2,222 Posts - See Instagram photos and videos from ANIES BASWEDAN INDONESIA (@aniesbaswedan.2024)",2023-01-02
Anies Rasyid Baswedan (@aniesbaswedan) - Instagram,https://www.instagram.com/aniesbaswedan/,"6M Followers, 186 Following, 4,391 Posts - See Instagram photos and videos from Anies Rasyid Baswedan (@aniesbaswedan)",2023-01-02
